latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
52.55811,39.56976,304.68,1,1,2025-04-23,0041,A,61,6.1NRT,282.7,9.74,N
52.54768,39.64072,305.32,1,1,2025-04-23,0041,A,64,6.1NRT,283.01,9.17,N
52.53873,39.6303,326.09,1,1,2025-04-23,0041,A,100,6.1NRT,283.07,27.61,N
52.53664,39.64448,310.75,1,1,2025-04-23,0041,A,81,6.1NRT,280.05,13.22,N
48.21343,38.24977,308.98,1,1,2025-04-23,0041,A,76,6.1NRT,280.18,12.8,N
48.35252,35.50983,302.54,1.09,1.04,2025-04-23,0041,A,50,6.1NRT,279.67,10.1,N
48.3507,35.52408,310.07,1.09,1.04,2025-04-23,0041,A,79,6.1NRT,281.06,15.45,N
34.89898,43.81578,310.22,3.18,1.69,2025-04-23,0045,A,79,6.1NRT,289.78,57.22,N
18.4757,-69.40228,309.73,1.03,1.01,2025-04-23,0156,T,78,6.1NRT,291.51,9.29,N
-29.8287,-57.43391,303.28,1.12,1.05,2025-04-23,0143,T,54,6.1NRT,286.89,8.47,N
18.47444,-69.41175,307.25,1.03,1.01,2025-04-23,0156,T,71,6.1NRT,291.2,7.52,N
-29.74097,-60.70086,309.22,1.02,1.01,2025-04-23,0143,T,77,6.1NRT,288.32,10.78,N
-29.74234,-60.71123,304.95,1.02,1.01,2025-04-23,0143,T,62,6.1NRT,287.97,7.92,N
18.93772,-70.80668,301.26,1,1,2025-04-23,0156,T,39,6.1NRT,284.22,6.37,N
-29.68621,-60.98299,300.37,1.03,1.01,2025-04-23,0143,T,26,6.1NRT,288.19,5.79,N
18.93641,-70.81604,308.79,1,1,2025-04-23,0156,T,76,6.1NRT,285.67,10.75,N
-29.80173,-62.74766,301.93,1.19,1.08,2025-04-23,0143,T,45,6.1NRT,288.24,7.32,N
-29.05252,-57.38636,303.95,1.15,1.07,2025-04-23,0143,T,58,6.1NRT,278.78,10.44,N
22.30965,-81.50075,305.42,3.97,1.85,2025-04-23,0158,T,30,6.1NRT,292.46,46.54,N
22.30083,-81.50377,306.06,3.97,1.85,2025-04-23,0158,T,41,6.1NRT,292.23,47.37,N
-29.62523,-61.64915,316.56,1.07,1.03,2025-04-23,0143,T,93,6.1NRT,288,17.81,N
-29.6266,-61.66005,303.57,1.07,1.03,2025-04-23,0143,T,56,6.1NRT,288.85,7.54,N
-29.61603,-61.65069,317.81,1.07,1.03,2025-04-23,0143,T,96,6.1NRT,287.69,18.84,N
-29.49423,-61.06055,300.37,1.03,1.01,2025-04-23,0143,T,24,6.1NRT,287.39,4.96,N
-29.48507,-61.05781,315.48,1.03,1.01,2025-04-23,0143,T,91,6.1NRT,287.14,15.8,N
-28.86768,-57.78379,300.37,1.11,1.05,2025-04-23,0143,T,26,6.1NRT,277.11,7.68,N
-28.79165,-60.40719,303.49,1,1,2025-04-23,0143,T,55,6.1NRT,277.8,8.09,N
4.33222,-70.72861,304.13,1.33,1.14,2025-04-23,0154,T,54,6.1NRT,288.98,6.4,N
-28.54386,-61.16438,309.64,1.02,1.01,2025-04-23,0143,T,78,6.1NRT,278.39,12.3,N
4.74262,-68.78533,304.24,1.05,1.02,2025-04-23,0154,T,59,6.1NRT,289.11,5.67,N
-28.54522,-61.1747,300.36,1.02,1.01,2025-04-23,0143,T,26,6.1NRT,278.31,6.47,N
4.66407,-70.41859,312.08,1.26,1.12,2025-04-23,0154,T,84,6.1NRT,290.21,12.55,N
-27.28907,-59.54503,315.94,1.02,1.01,2025-04-23,0143,T,92,6.1NRT,268,17.9,N
4.66245,-70.42967,305.71,1.26,1.12,2025-04-23,0154,T,65,6.1NRT,290.02,6.32,N
4.81611,-69.5675,308.31,1.13,1.06,2025-04-23,0154,T,74,6.1NRT,292.42,7.42,N
4.87121,-71.39819,303.03,1.46,1.19,2025-04-23,0154,T,53,6.1NRT,286.66,6.94,N
5.41738,-69.9436,317.37,1.16,1.07,2025-04-23,0154,T,95,6.1NRT,289.42,16.8,N
5.41592,-69.9538,303.89,1.16,1.07,2025-04-23,0154,T,55,6.1NRT,288.99,4.93,N
5.42682,-69.94497,322.51,1.16,1.07,2025-04-23,0154,T,100,6.1NRT,289.65,22.81,N
7.43681,-67.11315,313.12,1.02,1.01,2025-04-23,0154,T,86,6.1NRT,292.1,10.28,N
7.43558,-67.12219,312.9,1.02,1.01,2025-04-23,0154,T,86,6.1NRT,292.04,10.09,N
7.41748,-67.3213,305.46,1.01,1.01,2025-04-23,0154,T,64,6.1NRT,292.28,4.41,N
7.32216,-68.01315,304.58,1,1,2025-04-23,0154,T,61,6.1NRT,291.03,4.29,N
7.42635,-67.32255,328.36,1.01,1.01,2025-04-23,0154,T,100,6.1NRT,293.02,24.66,N
7.42513,-67.3315,320.78,1.01,1.01,2025-04-23,0154,T,100,6.1NRT,292.52,16.17,N
7.45443,-67.38122,311.52,1.01,1.01,2025-04-23,0154,T,83,6.1NRT,292.18,8.53,N
7.4532,-67.39015,310.67,1.01,1.01,2025-04-23,0154,T,81,6.1NRT,291.78,7.89,N
7.52354,-67.3513,310.32,1.01,1.01,2025-04-23,0154,T,80,6.1NRT,292.75,7.87,N
